Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date,Topic,Sentiment,Sub_Topic,sentiment
Morocco,Taroudant,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05285-59620,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Kissariat Habous, Av. Bir Anzarane, Taroudant 83000",https://www.bmci.ma/,Nisrine Soubihi (Nisrine),5,💖💖 …,2022-08-12 00:58:13.786765,0,https://www.google.com/maps/contrib/112765342459623065379/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,['Réactif'],positive
Morocco,Taroudant,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05285-59620,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Kissariat Habous, Av. Bir Anzarane, Taroudant 83000",https://www.bmci.ma/,Mohamed Ait Elhaj,3,Expérience neutre,2017-08-13 00:58:13.786772,0,https://www.google.com/maps/contrib/115431333966579989219/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Sécurité,positive,"['virements bancaires', ""perte d'argent""]",positive
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Du Maroc F498+Pjj, Bd Mohammed V, Taroudant",not available,Hamza Izourane,2,Personnel manque de l'expérience,2015-08-14 00:58:13.786783,2,https://www.google.com/maps/contrib/107109936786970075974/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,personnel manquant d'expérience,negative,"['manque de connaissances', 'incapacité à résoudre des problèmes']",negative
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Du Maroc F498+Pjj, Bd Mohammed V, Taroudant",not available,Omar Aitelhaj,5,Mes chaleureux remerciements au personnel de la Banque du Maroc,2020-08-12 00:58:13.786786,0,https://www.google.com/maps/contrib/113324501164702787383/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,"['réactif', 'rapidité']",positive
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Du Maroc Bab Zorgane F48G+4Fg, Taroudant",not available,Kati Kati,5,Super établissement,2024-05-13 00:58:13.786790,0,https://www.google.com/maps/contrib/108528998110621132267/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,"['réactif', 'rapidité']",positive
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,+212 5288-51252,"CREDIT AGRICOLE DU MAROC - Du Maroc Route De Marrakech Mhaita, Taroudant 20000",not available,Kareem Goodman,1,Très mauvais service client !,2020-08-12 00:58:13.786794,0,https://www.google.com/maps/contrib/102157364596792362216/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,negative,['Mauvais service client'],negative
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,05285-59300,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale F4Gp+Vhv, Rond-Point Mhaita, Taroudant",not available,Patrick Aloisio,4,Normalement c'est une bonne banque mais aujourd'hui elle n'est pas du tout à la hauteur. DAB depuis ce matin veille de l'aïd jusqu'à au moins 12h30 donc obligation d'utiliser un autre DAB donc file d'attente importante et bien sûr ils ne se …,2023-08-12 00:58:13.786843,1,https://www.google.com/maps/contrib/115942800231128202690/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Sécurité des transactions en ligne,positive,"['DAB non disponible', ""File d'attente importante""]",positive
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,05285-59300,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale F4Gp+Vhv, Rond-Point Mhaita, Taroudant",not available,Salah Eddine Khadim,4,Service très agréable. Les 4 étoiles parce que son ATM charge 35Dh pour les cartes internationales,2021-08-12 00:58:13.786847,0,https://www.google.com/maps/contrib/114349897137445683355/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service clientèle,positive,"['rapide', 'simple']",positive
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,05285-59300,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale F4Gp+Vhv, Rond-Point Mhaita, Taroudant",not available,Megam Svc,5,service tres bien,2018-08-13 00:58:13.786850,0,https://www.google.com/maps/contrib/111993545252104189187/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,['service tres bien'],positive
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,05285-59300,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale F4Gp+Vhv, Rond-Point Mhaita, Taroudant",not available,Hamid Liko,1,service incomplet😡 …,2022-08-12 00:58:13.786858,0,https://www.google.com/maps/contrib/110487508177160759759/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,service,negative,['incomplet'],negative
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,05285-59300,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale F4Gp+Vhv, Rond-Point Mhaita, Taroudant",not available,Анна Оленина,5,Merveilleux!,2017-08-13 00:58:13.786863,0,https://www.google.com/maps/contrib/115788489224638726295/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,"['réactif', 'rapide']",positive
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,05285-59300,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale F4Gp+Vhv, Rond-Point Mhaita, Taroudant",not available,Salah Eddine Berri,5,Très bonne expérience,2022-08-12 00:58:13.786866,0,https://www.google.com/maps/contrib/108415604153786718231/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Satisfaction client,positive,['Très bonne expérience'],positive
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,05285-59300,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale F4Gp+Vhv, Rond-Point Mhaita, Taroudant",not available,Barakah Jamal,1,Très mauvaise expérience,2021-08-12 00:58:13.786870,0,https://www.google.com/maps/contrib/109230512380399896108/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,expérience utilisateur,negative,['mauvaise'],negative
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,05285-59300,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale F4Gp+Vhv, Rond-Point Mhaita, Taroudant",not available,Mohamed El Harrak,5,Très bonne expérience,2019-08-13 00:58:13.786874,0,https://www.google.com/maps/contrib/102426834197631036905/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,"['réactif', 'Rapide']",positive
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,05285-59300,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale F4Gp+Vhv, Rond-Point Mhaita, Taroudant",not available,Imad Imadbouhouch,4,Bonne expérience,2018-08-13 00:58:13.786877,0,https://www.google.com/maps/contrib/118140616334274497883/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,"['Rapide', 'Agréable']",positive
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,+212 5288-52579,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale Place Assarag, Taroudant 83000",not available,Mobi Sud,4,Banque Place Assarag,2017-08-13 00:58:13.786913,0,https://www.google.com/maps/contrib/101314520355352117280/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,ouverture de compte,positive,"['rapide', 'simple']",positive
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,+212 5288-52579,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale Place Assarag, Taroudant 83000",not available,Faquir Younes,5,Haut 🎩 …,2024-05-13 00:58:13.786916,0,https://www.google.com/maps/contrib/101149843919602518958/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,service clientèle,positive,"['réactif', 'rapide', 'satisfaisant']",positive
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,+212 5288-52579,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale Place Assarag, Taroudant 83000",not available,Nisrine Soubihi (Nisrine),5,Bel endroit,2022-08-12 00:58:13.786920,1,https://www.google.com/maps/contrib/112765342459623065379/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,atmosphère de la branche,positive,['bel endroit'],positive
Morocco,Taroudant,SOCIETE GENERALE MAROCAINE DE BANQUES,+212 5288-52579,"SOCIETE GENERALE MAROCAINE DE BANQUES - Générale Place Assarag, Taroudant 83000",not available,Hihpdl Hih,3,Expérience neutre,2016-08-13 00:58:13.786923,0,https://www.google.com/maps/contrib/111540097008381712973/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Expérience utilisateur,positive,"['pas mauvais', 'pas excellent']",positive
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Agricole - Agence Bab Targhount F497+R28, Bd Mohammed V, Taroudant",not available,Ahmed Itaabbou,5,"Équipe très accueillante et service excellent.
Merci à toute la structure pyramidale.",2020-08-12 00:58:13.786927,0,https://www.google.com/maps/contrib/101533856404461232782/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,équipe accueillante et service excellent,positive,"['accueillante', 'excellent']",positive
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Agricole - Agence Bab Targhount F497+R28, Bd Mohammed V, Taroudant",not available,Mobi Sud,3,difficile De Stationer Ici,2017-08-13 00:58:13.786931,1,https://www.google.com/maps/contrib/101314520355352117280/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,difficulté d'accès,positive,"['difficile', 'problèmes']",positive
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Agricole - Agence Bab Targhount F497+R28, Bd Mohammed V, Taroudant",not available,ميلود اسمار,5,Très bonne expérience,2023-08-12 00:58:13.786934,0,https://www.google.com/maps/contrib/116739655773918100380/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Expérience client,positive,"['bonne', 'rapide', 'simple']",positive
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Agricole - Agence Bab Targhount F497+R28, Bd Mohammed V, Taroudant",not available,Hamid Sajid,5,Très bonne expérience,2023-08-12 00:58:13.786938,0,https://www.google.com/maps/contrib/116036177227893801869/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,expérience client,positive,"['très bonne', 'positive']",positive
Morocco,Taroudant,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05285-59500,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Jnane Khai, Boulevard Hassan, Taroudant 83000",https://www.bmci.ma/,Monsieur Lambda,1,Cela fait 4mois que j'essaie de joindre l'agence par téléphone ☎️ personne répond.... 4mois c'est Grave pour un établissement bancaire.... Bravo BMCI,2024-04-13 00:58:13.786941,0,https://www.google.com/maps/contrib/106473024555947984648/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,negative,['Pas de réponse téléphonique après 4 mois'],negative
Morocco,Taroudant,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05285-59500,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Jnane Khai, Boulevard Hassan, Taroudant 83000",https://www.bmci.ma/,Mobi Sud,4,Bon Endroit Pour Placer Une Banque,2017-08-13 00:58:13.786945,0,https://www.google.com/maps/contrib/101314520355352117280/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,ouverture de compte,positive,"['rapide', 'simple']",positive
Morocco,Taroudant,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05285-59500,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Jnane Khai, Boulevard Hassan, Taroudant 83000",https://www.bmci.ma/,Imane Hafsi,1,Service nul !!,2018-08-13 00:58:13.786949,1,https://www.google.com/maps/contrib/109191457592949604079/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Temps d'attente,negative,"['nul', 'catastrophique']",negative
Morocco,Taroudant,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05285-59500,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Jnane Khai, Boulevard Hassan, Taroudant 83000",https://www.bmci.ma/,Abdelali Lbaiz,1,Nul,2021-08-12 00:58:13.786952,0,https://www.google.com/maps/contrib/100569545992684155753/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,negative,"['Rude', 'Pas aidé']",negative
Morocco,Taroudant,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05285-59500,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Jnane Khai, Boulevard Hassan, Taroudant 83000",https://www.bmci.ma/,Loubna Jetti,5,Très bonne expérience,2020-08-12 00:58:13.786956,0,https://www.google.com/maps/contrib/104566571390297278191/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Expérience utilisateur,positive,"['Rapide', 'Simple']",positive
Morocco,Taroudant,AL BARID BANK,Not available,"AL BARID BANK - Cash F499+H75, Bd Mohammed V, Taroudant",not available,Nina Zahra,1,Très mauvais,2023-10-16 00:58:13.786981,0,https://www.google.com/maps/contrib/100866126167829630888/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,negative,['Mauvais'],negative
Morocco,Bouznika,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,Not available,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Bouznika Qrqr+M2P, Avenue Hassan Ii, Bouznika",not available,A Ben,1,"Plusieurs emails et coups de fil pour rien
En 2023 on n'est pas capable de régler un problème on line pour les personnes qui sont à l'étranger",2023-08-12 00:58:13.787190,0,https://www.google.com/maps/contrib/108228914012415100868/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,negative,"['emails inutiles', 'coups de fil inutiles']",negative
Morocco,Bouznika,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,Not available,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Bouznika Qrqr+M2P, Avenue Hassan Ii, Bouznika",not available,Zakaria Akli,5,Meilleure employeure  Mr mounire un agent serviable sourient tre gentille je lui remercier je suis de casa et c pas comparable avec les agent quon a ici je lui souhaite une bonne continuation et en esperant la Grand direction il lui offrire plus qui la .....CHAPAUX pour ce monsieure (و الله لا يضيع آجر من أحسن عملا),2020-08-12 00:58:13.787194,1,https://www.google.com/maps/contrib/109080160218576705457/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Employe,positive,"['Serviable', 'Gentille', 'Sourient']",positive
Morocco,Bouznika,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,Not available,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Bouznika Qrqr+M2P, Avenue Hassan Ii, Bouznika",not available,Qamar Mokhtar,3,Jdr,2019-08-13 00:58:13.787202,0,https://www.google.com/maps/contrib/101665378194274996613/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,produits financiers,positive,"[""taux d'intérêt élevé""]",positive
Morocco,Bouznika,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,Not available,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Bouznika Qrqr+M2P, Avenue Hassan Ii, Bouznika",not available,Nadia Rechag,1,Très mauvaise expérience,2023-08-12 00:58:13.787205,0,https://www.google.com/maps/contrib/104879924377887670239/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Expérience utilisateur,negative,['Mauvaise'],negative
Morocco,Bouznika,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,Not available,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Bouznika Qrqr+M2P, Avenue Hassan Ii, Bouznika",not available,Abdelhaq Chobah,5,Très bonne expérience,2022-08-12 00:58:13.787209,0,https://www.google.com/maps/contrib/103989316321327383695/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,expérience utilisateur,positive,"['simple', 'facile']",positive
Morocco,Bouznika,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,Not available,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Bouznika Qrqr+M2P, Avenue Hassan Ii, Bouznika",not available,Loc Nace Nacelle,5,Très bonne expérience,2020-08-12 00:58:13.787212,0,https://www.google.com/maps/contrib/102258892431793288952/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,['réactif'],positive
Morocco,Bouznika,CREDIT AGRICOLE DU MAROC,05377-43588,"CREDIT AGRICOLE DU MAROC - Du Maroc Avenue Allal Ben Abdellah, Bouznika 20000",not available,Said Chaabib,5,Cette agence crédit du Maroc est fermée et a été déplacée à Ben Slimane. Donc il vaut mieux ne pas la chercher.,2023-08-12 00:58:13.787219,1,https://www.google.com/maps/contrib/114900128758430353725/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,fermeture,positive,"['inattendue', 'générale']",positive
Morocco,Bouznika,CREDIT AGRICOLE DU MAROC,05377-43588,"CREDIT AGRICOLE DU MAROC - Du Maroc Avenue Allal Ben Abdellah, Bouznika 20000",not available,Zakaria Boulouarde,1,"L'agence est fermée depuis juin 2022, je ne sais pas pourquoi elle est toujours ouvert sur maps, du n'importe quoi",2023-08-12 00:58:13.787223,1,https://www.google.com/maps/contrib/106167555851049100925/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Localisation et accessibilité,negative,['fermée'],negative
Morocco,Bouznika,CREDIT AGRICOLE DU MAROC,05377-43588,"CREDIT AGRICOLE DU MAROC - Du Maroc Avenue Allal Ben Abdellah, Bouznika 20000",not available,Idabdellah Mohamed,1,Très mauvaise expérience,2020-08-12 00:58:13.787227,0,https://www.google.com/maps/contrib/117799216884481974389/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Expérience utilisateur,negative,['Mauvaise'],negative
Morocco,Bouznika,CREDIT AGRICOLE DU MAROC,05377-43588,"CREDIT AGRICOLE DU MAROC - Du Maroc Avenue Allal Ben Abdellah, Bouznika 20000",not available,Chakib Moukharij,1,C'est définitivement proche,2023-08-12 00:58:13.787230,0,https://www.google.com/maps/contrib/112330987966298738487/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,negative,"[""difficile d'atteindre"", 'pas très utile']",negative
Morocco,Bouznika,CREDIT AGRICOLE DU MAROC,05377-43588,"CREDIT AGRICOLE DU MAROC - Du Maroc Avenue Allal Ben Abdellah, Bouznika 20000",not available,زكرياء سابع,1,Très mauvaise expérience,2019-08-13 00:58:13.787234,0,https://www.google.com/maps/contrib/115425340437255718963/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Temps d'attente,negative,"['long', 'insatisfaisant']",negative
Morocco,Bouznika,CREDIT AGRICOLE DU MAROC,05377-43588,"CREDIT AGRICOLE DU MAROC - Du Maroc Avenue Allal Ben Abdellah, Bouznika 20000",not available,Zakia Warghi,5,Très bonne expérience,2017-08-13 00:58:13.787237,0,https://www.google.com/maps/contrib/115987751069314095508/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Satisfaction client,positive,['très bonne expérience'],positive
Morocco,Bouznika,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05376-24121,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - 5 Boulevard Bir Anzarane, Bouznika 13100",https://www.bmci.ma/,Merouane Bentaybi,5,"Très heureux d'avoir un compte ouvert dans cette agence
Le personnel est également très serviable et compréhensif. Le niveau de service est très élevé que ce soit en présentiel ou en téléphonique. Surtout Mme sara …",2024-07-12 00:58:13.787241,0,https://www.google.com/maps/contrib/111307535271748222222/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,"['Très serviable et compréhensif', 'Téléphonique']",positive
Morocco,Bouznika,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05376-24121,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - 5 Boulevard Bir Anzarane, Bouznika 13100",https://www.bmci.ma/,El Mehdi Brik,1,"J’ajoute une étoile, juste par ce que malheureusement je ne peux pas donner moins. 1h20 pour effectuer un versement, personnel pas professionnel du tout et service très très lent, je déconseille fortement !",2023-08-12 00:58:13.787245,0,https://www.google.com/maps/contrib/110405081821546966692/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,negative,"['lent', 'inutile']",negative
Morocco,Bouznika,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05376-24121,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - 5 Boulevard Bir Anzarane, Bouznika 13100",https://www.bmci.ma/,Nabil Elgh,1,"Une attente qui a duré plus d’une demi heure sans aucune raison apparente
Le traitement d’un client à pris une demi heure",2020-08-12 00:58:13.787249,0,https://www.google.com/maps/contrib/114969034190685220430/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Temps d'attente,negative,"['Attente longue', 'Pas de raison']",negative
Morocco,Bouznika,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05376-24121,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - 5 Boulevard Bir Anzarane, Bouznika 13100",https://www.bmci.ma/,زكرياء سابع,3,"Une banque en centre-ville avec un distributeur automatique
Banque au centre-ville avec guichet automatique",2019-08-13 00:58:13.787252,1,https://www.google.com/maps/contrib/115425340437255718963/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Services bancaires en centre-ville,positive,['Guichet automatique'],positive
